method,attempted_nodes,successful_nodes,asr,asr_ci_low,asr_ci_high,attacked_subset_accuracy,no_valid_candidate_rate,median_semantic_similarity,median_changed_token_ratio,mean_queries,mean_queries_success,median_margin_reduction,generation_seconds
feedback_non_graph,30,7,0.23333333333333334,0.1,0.4,0.7666666666666666,0.0,0.9873307645320892,0.06163342830009497,2.7666666666666666,2.2857142857142856,0.10373592376708984,1050.7848889997986
generic_paraphrase,30,5,0.16666666666666666,0.03333333333333333,0.3,0.8333333333333334,0.13333333333333333,0.9875158965587616,0.04941663274996608,1.8,2.8,0.08920373395085335,734.9792150998255
graph_feedback,30,7,0.23333333333333334,0.1,0.4,0.7666666666666666,0.03333333333333333,0.9896197319030762,0.026881720430107527,2.5,2.7142857142857144,0.1962270438671112,1042.9086519000411
graph_prompt_attack,30,5,0.16666666666666666,0.03333333333333333,0.3,0.8333333333333334,0.06666666666666667,0.9920794367790222,0.025236844200302526,1.9,2.4,0.18295954260975122,776.2421992999734
non_graph_attack,30,4,0.13333333333333333,0.03333333333333333,0.26666666666666666,0.8666666666666667,0.13333333333333333,0.9924409985542297,0.057579102281089034,1.8,2.5,0.05479898676276207,748.1806002998783
random_edit,30,5,0.16666666666666666,0.03333333333333333,0.3,0.8333333333333334,0.0,0.9979160130023956,0.027139490352040066,5.633333333333334,6.0,0.07085371762514114,0.005583099962677807
