method,attempted_nodes,successful_nodes,asr,asr_ci_low,asr_ci_high,attacked_subset_accuracy,no_valid_candidate_rate,median_semantic_similarity,median_changed_token_ratio,mean_queries,mean_queries_success,median_margin_reduction,generation_seconds
feedback_non_graph,60,2,0.03333333333333333,0.0,0.08333333333333333,0.9666666666666667,0.03333333333333333,0.9862913489341736,0.05707255707255707,2.8666666666666667,4.0,7.735076756887338e-08,1946.8688156999997
graph_feedback,60,0,0.0,0.0,0.0,1.0,0.15,0.991817057132721,0.03007518796992481,2.2666666666666666,nan,1.959876705370789e-12,1914.3246975002112
graph_prompt_attack,60,0,0.0,0.0,0.0,1.0,0.2833333333333333,0.9934565424919128,0.026515151515151516,1.5333333333333334,nan,6.772360450213455e-15,1257.6107408000971
non_graph_attack,60,1,0.016666666666666666,0.0,0.05,0.9833333333333333,0.15,0.988844633102417,0.04672897196261682,2.0166666666666666,5.0,1.7586826439597303e-09,1342.9478432000615
random_edit,60,0,0.0,0.0,0.0,1.0,0.0,0.9982902705669403,0.027779117434289846,5.733333333333333,nan,8.740209338498062e-07,0.008745499886572361
